phenotype,birth_period,persistence,exp_a_theta_h2,recovered_h2,r,theta,bound_violations
House value,1910-1996,0.8282787795615338,0.3620163677404786,0.7595033121254261,0.8644564791768048,0.476648833469069,
IMD,1910-1996,0.73573474062147,0.3549150492123485,0.5610184379019172,0.8403814373840011,0.6326263545626967,
Company director,1910-1996,0.8252288749259055,0.10938837216864675,0.4525749872552791,1.4372375145975846,0.2417022046049249,r
Occupational status,1780-1859,0.7471205158695725,0.9388265255199711,2.043513261887612,0.2418584899628251,0.4594178775491618,h2
Occupational status,1860-1919,0.8207296744397933,0.5326743672828173,0.8568736852182622,0.7486043275050447,0.6216486472532236,
Higher education,1780-1859,0.7272266413277739,0.8050517824503874,1.3191643545159395,0.34450088125850487,0.6102740569773787,h2
Higher education,1860-1919,0.8006180627926989,0.33119141066847957,0.6345739800609156,0.9474641956288254,0.5219114257358725,
Literacy,1725-1869,0.8942016610873083,0.40105637068296357,1.0539645093399457,0.7480359302310482,0.3805217036521738,h2
