cohort,source,model,scale,weight,iterate,converged,a,beta,c,b,m,h2,r,theta,weighted_R2
1860-1919,literal_raw_flags,genetic,log,normal_corr,False,True,-0.7782071892235611,-0.29481042546153335,0.0,0.7446727450774988,0.4893454901549975,0.4592285836802611,0.22472143637420267,1.0,0.7721348939604583
1860-1919,literal_raw_flags,genetic,log,normal_corr,True,False,-0.8155857010300743,-0.2899171805612143,0.0,0.7483255409135589,0.49665108182711765,0.44238014895930183,0.2197085795594787,1.0,0.7674448887339989
1860-1919,literal_raw_flags,genetic,level,normal_corr,False,True,-1.1199491190025206,-0.18726619417367651,0.0,0.8292229726796954,0.6584459453593908,0.32629639648680336,0.21484853925211586,1.0,0.7375277667120066
1860-1919,literal_raw_flags,genetic,level,normal_corr,True,False,-1.1464548346878127,-0.18295275306827002,0.0,0.8328075024067894,0.6656150048135786,0.3177612912005286,0.21150668337200879,1.0,0.7304813245328112
1860-1919,literal_raw_flags,unrestricted,log,normal_log,False,True,-1.3423824266040996,-0.1181359304337201,0.3965070284560083,0.8885752599846234,0.7771505199692468,0.2612225830158619,1.6419526359222694,1.0,0.8135977718250429
1860-1919,literal_raw_flags,unrestricted,log,normal_log,True,True,-1.268449160815716,-0.1797718537844772,0.3739186434376727,0.8354607968887955,0.670921593777591,0.28126748435063986,1.428549025618767,1.0,0.759307169831511
1860-1919,literal_raw_flags,unrestricted,level,normal_log,False,True,-1.357943484748773,-0.11336527794995362,0.42574148502881826,0.8928244714522787,0.7856489429045574,0.2571891468699307,1.7333374935701795,1.0,0.8682957703924039
1860-1919,literal_raw_flags,unrestricted,level,normal_log,True,False,-1.3568589746053736,-0.14275954277620248,0.4304758501283679,0.8669625112323393,0.7339250224646785,0.2574682224112579,1.666757961297081,1.0,0.8518303351058041
1860-1919,literal_raw_flags,ph_fixed,log,normal_log,False,True,-0.7174707860536951,-0.295724382153452,0.29572438215345204,0.743992457362955,0.48798491472591,0.48798491472591005,0.9999999999999999,1.0,0.16710265964018423
1860-1919,literal_raw_flags,ph_fixed,log,normal_log,True,True,-0.9250070269886999,-0.35915757120700775,0.3591575712070078,0.698264316331491,0.3965286326629819,0.39652863266298194,0.9999999999999999,1.0,0.18246365591002256
1860-1919,literal_raw_flags,ph_fixed,level,normal_log,False,True,-0.9206432151209519,-0.35791657871081883,0.3579165787108188,0.6991313950162059,0.39826279003241183,0.3982627900324119,0.9999999999999999,1.0,0.4864329798501922
1860-1919,literal_raw_flags,ph_fixed,level,normal_log,True,True,-1.0233753986853904,-0.3861185845446576,0.38611858454465764,0.6796899201814393,0.3593798403628784,0.35937984036287846,0.9999999999999999,1.0,0.6822057360915825
1860-1919,literal_raw_flags,ph_free,log,normal_log,False,True,-1.144605187825123,-0.16220461341798137,0.16220461341798126,0.8502672106599282,0.7005344213198563,0.7005344213198564,0.9999999999999999,0.4544381711790987,0.7577295673653698
1860-1919,literal_raw_flags,ph_free,log,normal_log,True,False,-1.1810699398373212,-0.19535589570257897,0.19535589570257897,0.8225418668419411,0.6450837336838823,0.6450837336838824,0.9999999999999999,0.47582992506083105,0.7015092923254731
1860-1919,literal_raw_flags,ph_free,level,normal_log,False,True,-1.0882110052134197,-0.18789361938984284,0.18789361938984292,0.8287028604596351,0.6574057209192703,0.6574057209192704,0.9999999999999999,0.512344981029341,0.7807401931681206
1860-1919,literal_raw_flags,ph_free,level,normal_log,True,False,-1.1583879355163165,-0.20078912503346047,0.20078912503346055,0.8180849269973418,0.6361698539946837,0.6361698539946838,0.9999999999999999,0.49356621726834,0.6765274469382867
1860-1919,literal_raw_flags,genetic,log,normal_log,False,True,-1.051349858036584,-0.17663450955105556,0.0,0.8380860409960544,0.6761720819921089,0.3494657014985224,0.23629895096708875,1.0,0.6590611388466381
1860-1919,literal_raw_flags,genetic,log,normal_log,True,True,-1.1602964862430412,-0.1934734046866792,0.0,0.824091752882042,0.648183505764084,0.3133932503195876,0.20313633567495143,1.0,0.605559867658299
1860-1919,literal_raw_flags,genetic,level,normal_log,False,True,-0.9908202396043211,-0.19310167187289348,0.0,0.8243981517738912,0.6487963035477823,0.3712720340669579,0.2408799233133086,1.0,0.6042244581809799
1860-1919,literal_raw_flags,genetic,level,normal_log,True,False,-1.2215354600086346,-0.15098551781267283,0.0,0.8598601512248203,0.7197203024496407,0.29477720065415036,0.21215713601006353,1.0,0.5225040212164008
1860-1919,literal_raw_flags,unrestricted,log,student_corr,False,True,-0.785795855942589,-0.2942861095116071,0.04156058293796379,0.7450632912510653,0.4901265825021306,0.45575684062220045,0.5533620617485098,1.0,0.7709498054528413
1860-1919,literal_raw_flags,unrestricted,level,student_corr,False,True,-1.2736184866959095,-0.1635724863819464,0.36196923204260417,0.8491049482252246,0.6982098964504493,0.27981727260246,1.4388922156225292,1.0,0.8193745841841873
1860-1919,literal_raw_flags,ph_fixed,log,student_corr,False,True,-0.7421912130285985,-0.3037642997563957,0.30376429975639563,0.7380348009339545,0.47606960186790886,0.4760696018679089,0.9999999999999999,1.0,0.7604371179471976
1860-1919,literal_raw_flags,ph_fixed,level,student_corr,False,True,-0.8481289881271709,-0.33672150242004323,0.33672150242004334,0.7141076894752199,0.4282153789504396,0.42821537895043965,0.9999999999999999,1.0,0.4779491859410133
1860-1919,literal_raw_flags,ph_free,log,student_corr,False,True,-0.7857958570548871,-0.29428610932901494,0.04156057850093059,0.745063291387108,0.49012658277421606,0.8857249575061159,0.5533620551398223,0.5145579745189872,0.7709498054528414
1860-1919,literal_raw_flags,ph_free,level,student_corr,False,True,-1.1718663020614686,-0.18319950980578126,0.18319950980578126,0.8326020268967964,0.6652040537935929,0.665204053793593,0.9999999999999999,0.4657040816533916,0.7972072695777328
1860-1919,literal_raw_flags,genetic,log,student_corr,False,True,-0.7734159672978209,-0.29610479384122956,0.0,0.74370948776244,0.48741897552488,0.46143412914904924,0.22491175050204476,1.0,0.7707969955907836
1860-1919,literal_raw_flags,genetic,level,student_corr,False,True,-1.1303882477822798,-0.18585434850664834,0.0,0.8303945343782203,0.6607890687564406,0.3229078638201193,0.2133739866278282,1.0,0.7369788698824087
1860-1919,literal_raw_flags,unrestricted,log,student_log,False,True,-1.3430361269718802,-0.11826995467770854,0.3922896630090873,0.8884561773373363,0.7769123546746726,0.26105187751847386,1.6304814463666193,1.0,0.8054172214835584
1860-1919,literal_raw_flags,unrestricted,level,student_log,False,True,-1.3622883631206912,-0.11207810528734448,0.4241627911150644,0.8939744306436853,0.7879488612873706,0.25607411540038827,1.7325407837388185,1.0,0.8625953356806342
1860-1919,literal_raw_flags,ph_fixed,log,student_log,False,True,-0.71426025168372,-0.29467035053964685,0.2946703505396469,0.7447770623600436,0.4895541247200871,0.48955412472008714,0.9999999999999999,1.0,0.14446143490069518
1860-1919,literal_raw_flags,ph_fixed,level,student_log,False,True,-0.9169984640558638,-0.35687710202797635,0.3568771020279763,0.699858503640328,0.399717007280656,0.39971700728065607,0.9999999999999999,1.0,0.4518639583304349
1860-1919,literal_raw_flags,ph_free,log,student_log,False,True,-1.1538788553964376,-0.16021353057893323,0.1602135305789333,0.8519618496351157,0.7039236992702314,0.7039236992702315,0.9999999999999999,0.44807549507129596,0.7505031591400457
1860-1919,literal_raw_flags,ph_free,level,student_log,False,True,-1.097749166134717,-0.18437033222607266,0.1843703322260727,0.8316277682297657,0.6632555364595313,0.6632555364595314,0.9999999999999999,0.5030054733119722,0.7711398324281277
1860-1919,literal_raw_flags,genetic,log,student_log,False,True,-1.0666247518073368,-0.17356148674082666,0.0,0.8406654597934824,0.6813309195869648,0.3441682123252951,0.23449244459619506,1.0,0.6537994915124913
1860-1919,literal_raw_flags,genetic,level,student_log,False,True,-1.0105938333441593,-0.1875294448303155,0.0,0.8290047079180687,0.6580094158361373,0.36400275840290186,0.23951724241943606,1.0,0.5946610344380383
1860-1919,literal_raw_flags,unrestricted,log,binary_corr,False,True,-0.4621297613078716,-0.36749921167645355,-0.17578797036927915,0.6924638726940041,0.3849277453880082,0.6299405927230208,0.16167159559374822,1.0,0.8124776143795073
1860-1919,literal_raw_flags,unrestricted,level,binary_corr,False,True,-1.216162353209567,-0.19951865796326526,0.34496564664404744,0.8191249374673535,0.638249874934707,0.2963653328162382,1.313112844750766,1.0,0.7895144139598931
1860-1919,literal_raw_flags,ph_fixed,log,binary_corr,False,True,-0.49172738552715717,-0.36389627630054944,0.16397097996847446,0.6949632751665045,0.389926550333009,0.6115690656874291,0.6375838351057134,1.0,0.8092790575289822
1860-1919,literal_raw_flags,ph_fixed,level,binary_corr,False,True,-0.81911578789162,-0.3279339088971053,0.3279339088971053,0.720410630865078,0.4408212617301559,0.44082126173015596,0.9999999999999999,1.0,0.5728572065687552
1860-1919,literal_raw_flags,ph_free,log,binary_corr,False,True,-0.49412505380949634,-0.3633036175335319,0.0,0.6953752733193864,0.3907505466387728,0.9999999999999999,0.39075054663877284,0.6101044824302165,0.8116588491216173
1860-1919,literal_raw_flags,ph_free,level,binary_corr,False,True,-1.1640704328014817,-0.20790083132879672,0.2079008313287967,0.8122875861984384,0.624575172396877,0.6245751723968771,0.9999999999999999,0.4998801805022074,0.7833026876170487
1860-1919,literal_raw_flags,genetic,log,binary_corr,False,True,-0.4941250713613623,-0.3633036151131882,0.0,0.6953752750024336,0.390750550004867,0.6101044717217444,0.23839865788570047,1.0,0.8116588491216172
1860-1919,literal_raw_flags,genetic,level,binary_corr,False,True,-1.1283650401247858,-0.21118576159949926,0.0,0.8096236559261017,0.6192473118522035,0.3235618348193532,0.20036479642985117,1.0,0.7549562782525614
1860-1919,literal_raw_flags,unrestricted,log,binary_log,False,True,-1.3062374994569732,-0.13677194273328036,0.36568988842131706,0.8721691079559026,0.7443382159118053,0.27083716673258623,1.5144777458131906,1.0,0.7257218760398836
1860-1919,literal_raw_flags,unrestricted,level,binary_log,False,True,-1.4047778011220151,-0.10522408144404545,0.44463496513732703,0.9001227991692163,0.8002455983384327,0.24542158279518633,1.8082403135584122,1.0,0.8411869896907189
1860-1919,literal_raw_flags,ph_fixed,log,binary_log,False,True,-0.6866934548502909,-0.28552619939366675,0.28552619939366675,0.7516186489675073,0.5032372979350146,0.5032372979350147,0.9999999999999999,1.0,0.23533905482231388
1860-1919,literal_raw_flags,ph_fixed,level,binary_log,False,True,-0.8971440171918115,-0.3511669441443844,0.35116694414438443,0.703866237699763,0.407732475399526,0.40773247539952606,0.9999999999999999,1.0,0.21688655777871624
1860-1919,literal_raw_flags,ph_free,log,binary_log,False,True,-1.1811815068866585,-0.1618494285021837,0.1618494285021836,0.8505692663871954,0.7011385327743909,0.701138532774391,0.9999999999999999,0.4377393149833524,0.6990069858953376
1860-1919,literal_raw_flags,ph_free,level,binary_log,False,True,-1.1646809246592698,-0.1618869177268011,0.1618869177268011,0.8505373798026206,0.7010747596052411,0.7010747596052412,0.9999999999999999,0.445062670517444,0.7249449566586343
1860-1919,literal_raw_flags,genetic,log,binary_log,False,True,-1.1143707553019042,-0.17209876731211754,0.0,0.8418960172553177,0.6837920345106354,0.32812168278272485,0.22436699303705276,1.0,0.6417645521484745
1860-1919,literal_raw_flags,genetic,level,binary_log,False,True,-1.1280581341218143,-0.15737730155801508,0.0,0.8543816384733254,0.7087632769466509,0.3236611531287048,0.22939913951183258,1.0,0.5740504987949737
1860-1919,literal_raw_flags,unrestricted,log,inverse_se_corr,False,True,-0.8028701439722804,-0.2945169018355616,0.05921548620764443,0.744891356203992,0.4897827124079841,0.44804117425448386,0.5806651902566009,1.0,0.7855733263045239
1860-1919,literal_raw_flags,unrestricted,level,inverse_se_corr,False,True,-1.2729991868220172,-0.16485308136204171,0.36370055951370356,0.8480182846274313,0.6960365692548627,0.2799906170746602,1.4399917513657945,1.0,0.8411776680531604
1860-1919,literal_raw_flags,ph_fixed,log,inverse_se_corr,False,True,-0.751148843958397,-0.30664460428443086,0.30664460428443024,0.7359120944430604,0.4718241888861207,0.47182418888612127,0.9999999999999988,1.0,0.7712370180483876
1860-1919,literal_raw_flags,ph_fixed,level,inverse_se_corr,False,True,-0.8752852718225462,-0.3447865223471672,0.34478652234716717,0.7083715588254549,0.41674311765090977,0.4167431176509098,0.9999999999999999,1.0,0.55432470608505
1860-1919,literal_raw_flags,ph_free,log,inverse_se_corr,False,True,-0.8028701386604216,-0.294516902540593,0.059215465102089325,0.7448913556788203,0.4897827113576405,0.843485624169353,0.5806651557813665,0.5311782012593717,0.785573326304524
1860-1919,literal_raw_flags,ph_free,level,inverse_se_corr,False,True,-1.1482939076712702,-0.18956701141521434,0.1895670114152143,0.8273172753384166,0.6546345506768332,0.6546345506768333,0.9999999999999999,0.48451069639073535,0.8173448388192898
1860-1919,literal_raw_flags,genetic,log,inverse_se_corr,False,True,-0.7792030143431019,-0.2979737537149532,0.0,0.7423208226560039,0.48464164531200765,0.458771499946526,0.222339774556342,1.0,0.7851710524917953
1860-1919,literal_raw_flags,genetic,level,inverse_se_corr,False,True,-1.0864008674848713,-0.1938863337005932,0.0,0.8237515317355752,0.6475030634711504,0.33742876166925806,0.2184861568841213,1.0,0.7450775761384834
1860-1919,literal_raw_flags,unrestricted,log,inverse_se_log,False,True,-1.1969155321065794,-0.17266210018375758,0.2959264510129161,0.8414218831145072,0.6828437662290143,0.30212467003493865,1.262366821398405,1.0,0.7432117572088257
1860-1919,literal_raw_flags,unrestricted,level,inverse_se_log,False,True,-1.343473518270113,-0.12601165039658022,0.40236051030792036,0.8816045756806513,0.7632091513613026,0.26093772066628684,1.6366153770376193,1.0,0.8496712498593193
1860-1919,literal_raw_flags,ph_fixed,log,inverse_se_log,False,True,-0.7126276701077967,-0.2941334951794898,0.2941334951794898,0.7451770072647708,0.49035401452954147,0.4903540145295415,0.9999999999999999,1.0,0.46486122812343045
1860-1919,literal_raw_flags,ph_fixed,level,inverse_se_log,False,True,-0.9104677623599855,-0.35500777559203117,0.3550077755920311,0.7011679911911313,0.4023359823822625,0.40233598238226254,0.9999999999999999,1.0,0.45115849568933797
1860-1919,literal_raw_flags,ph_free,log,inverse_se_log,False,True,-1.1195646733932056,-0.1879048195959114,0.18790481959591132,0.8286935788688063,0.6573871577376128,0.6573871577376129,0.9999999999999998,0.4965443270040152,0.73670786850192
1860-1919,literal_raw_flags,ph_free,level,inverse_se_log,False,True,-1.1221466419203325,-0.18047445550478333,0.18047445550478336,0.8348740068596341,0.6697480137192682,0.6697480137192683,0.9999999999999999,0.4861233378697257,0.7801086730594515
1860-1919,literal_raw_flags,genetic,log,inverse_se_log,False,True,-1.012938937726777,-0.20563365287978916,0.0,0.814131276305774,0.6282625526115478,0.3631501340761606,0.2281536302159145,1.0,0.6956705836112704
1860-1919,literal_raw_flags,genetic,level,inverse_se_log,False,True,-1.0463519375438555,-0.18257884519976753,0.0,0.8331189539083421,0.6662379078166843,0.3512166752585396,0.23399386291458127,1.0,0.6356964642878433
1860-1919,literal_raw_flags,unrestricted,log,N_rho2,False,True,-1.3436042250161397,-0.11843005010365791,0.38784264652639056,0.8883139509523887,0.7766279019047775,0.26090361657476885,1.6183903977631142,1.0,0.7969307565616154
1860-1919,literal_raw_flags,unrestricted,level,N_rho2,False,True,-1.3665558168281082,-0.11083553781371759,0.4223081439476033,0.8950859446159992,0.7901718892319984,0.25498365935746303,1.7308687627697608,1.0,0.8565919065902392
1860-1919,literal_raw_flags,ph_fixed,log,N_rho2,False,True,-0.7112625991242282,-0.2936841558764274,0.2936841558764273,0.7455119198209255,0.4910238396418508,0.49102383964185087,0.9999999999999999,1.0,0.1210396589492051
1860-1919,literal_raw_flags,ph_fixed,level,N_rho2,False,True,-0.9133467994309046,-0.35583293565068913,0.35583293565068913,0.7005896540135759,0.4011793080271516,0.4011793080271517,0.9999999999999999,1.0,0.4145909497457886
1860-1919,literal_raw_flags,ph_free,log,N_rho2,False,True,-1.1631774526801995,-0.15824250335149795,0.15824250335149798,0.8536427456391951,0.7072854912783901,0.7072854912783902,0.9999999999999999,0.44181830118953613,0.743196019289696
1860-1919,literal_raw_flags,ph_free,level,N_rho2,False,True,-1.1078510024223478,-0.18074148213912278,0.1807414821391228,0.8346511030254397,0.6693022060508793,0.6693022060508794,0.9999999999999999,0.4934511511046519,0.7613560809433846
1860-1919,literal_raw_flags,genetic,log,N_rho2,False,True,-1.0816636750944437,-0.1705707210362536,0.0,0.8431834567121769,0.6863669134243537,0.3390310187349867,0.23269967388424706,1.0,0.6486936772636024
1860-1919,literal_raw_flags,genetic,level,N_rho2,False,True,-1.0305471064735456,-0.18203604097092965,0.0,0.8335712971554559,0.6671425943109117,0.3568116931708187,0.23804427866244898,1.0,0.5854623228584048
1860-1919,literal_raw_birth_rule,unrestricted,log,equal,False,True,-0.8063212547463993,-0.29775619272154297,0.05924181225884485,0.7424823402809404,0.4849646805618808,0.4464975995863681,0.5755947185702888,1.0,0.8002727109396329
1860-1919,literal_raw_birth_rule,unrestricted,level,equal,False,True,-1.267620749288266,-0.16812629278621177,0.3523612881764607,0.8452470793348987,0.6904941586697975,0.28150058611573664,1.4045966489313901,1.0,0.8544343054896346
1860-1919,literal_raw_birth_rule,ph_fixed,log,equal,False,True,-0.7619506396923186,-0.3100946568447633,0.3100946568447633,0.7333775337353206,0.466755067470641,0.46675506747064105,0.9999999999999999,1.0,0.7822987303060461
1860-1919,literal_raw_birth_rule,ph_fixed,level,equal,False,True,-0.8994609131622334,-0.35183745264631244,0.3518374526463125,0.7033944475904805,0.4067888951809612,0.40678889518096123,0.9999999999999999,1.0,0.6088247538158599
1860-1919,literal_raw_birth_rule,ph_free,log,equal,False,True,-0.8063212419066227,-0.2977561945589588,0.05924178573767437,0.7424823389166916,0.48496467783338315,0.8425454574779475,0.5755946738886506,0.5299388909600572,0.8002727109396328
1860-1919,literal_raw_birth_rule,ph_free,level,equal,False,True,-1.1365093296348876,-0.19449136201791262,0.19449136201791262,0.8232532894729777,0.6465065789459554,0.6465065789459555,0.9999999999999999,0.49641777173014373,0.8336661561714671
1860-1919,literal_raw_birth_rule,genetic,log,equal,False,True,-0.7771683979137924,-0.3019686468559565,0.0,0.7393612458257729,0.47872249165154585,0.45970587420188874,0.22007154152478026,1.0,0.7998029584470134
1860-1919,literal_raw_birth_rule,genetic,level,equal,False,True,-1.053156864020507,-0.20107563389959504,0.0,0.8178505719865033,0.6357011439730067,0.3488347850912765,0.22175467194010243,1.0,0.7572121681509656
1860-1919,literal_raw_birth_rule,unrestricted,log,N,False,True,-0.7758832974841258,-0.2965791115739254,0.026776184496974734,0.7433568168100753,0.4867136336201505,0.46029702217924984,0.5270599011802759,1.0,0.7703130698421478
1860-1919,literal_raw_birth_rule,unrestricted,level,N,False,True,-1.2721551163112548,-0.16450312619681803,0.35099857926145417,0.8483151049402123,0.6966302098804247,0.280227048666253,1.4100382858581688,1.0,0.8128761315896553
1860-1919,literal_raw_birth_rule,ph_fixed,log,N,False,True,-0.7430434608444794,-0.30403909178546745,0.30403909178546745,0.7378320227156753,0.4756640454313505,0.47566404543135055,0.9999999999999999,1.0,0.7604776372724797
1860-1919,literal_raw_birth_rule,ph_fixed,level,N,False,True,-0.8453158600767251,-0.33587722394495223,0.3358772239449522,0.7147108498081558,0.4294216996163117,0.42942169961631177,0.9999999999999999,1.0,0.46055828247150865
1860-1919,literal_raw_birth_rule,ph_free,log,N,False,True,-0.7758832971722953,-0.2965791116631666,0.026776183890023262,0.7433568167437372,0.4867136334874744,0.9234503201235645,0.5270599001171481,0.49845347637238707,0.7703130698421478
1860-1919,literal_raw_birth_rule,ph_free,level,N,False,True,-1.1814184629845825,-0.18179611227758902,0.18179611227758907,0.8337713188220977,0.6675426376441952,0.6675426376441953,0.9999999999999999,0.4596608018168986,0.7937929373513135
1860-1919,literal_raw_birth_rule,genetic,log,N,False,True,-0.7684005010415704,-0.297673493656071,0.0,0.7425437454156497,0.48508749083129943,0.4637542498332477,0.22496138541396168,1.0,0.7702541831738728
1860-1919,literal_raw_birth_rule,genetic,level,N,False,True,-1.1422840833548935,-0.18449400325409504,0.0,0.8315249263281497,0.6630498526562992,0.31908936213098765,0.21157215454514386,1.0,0.738732940846509
1860-1919,literal_raw_birth_rule,unrestricted,log,normal_corr,False,True,-0.7920218510273479,-0.29302428477642295,0.04225135749921212,0.7460040239363097,0.4920080478726194,0.45292811572378444,0.5563981185539588,1.0,0.7727888190497023
1860-1919,literal_raw_birth_rule,unrestricted,log,normal_corr,True,True,-0.8361637038688559,-0.2871660144813976,0.07638333468086132,0.7503871433634048,0.5007742867268097,0.4333698736842895,0.6199001325328592,1.0,0.7696775272140429
1860-1919,literal_raw_birth_rule,unrestricted,level,normal_corr,False,True,-1.2732537285005887,-0.16333772729478885,0.35987576126872783,0.8493043067274654,0.6986086134549307,0.27991935686273745,1.4343632285032464,1.0,0.8238163746408931
1860-1919,literal_raw_birth_rule,unrestricted,level,normal_corr,True,False,-1.2797406177793107,-0.1630204052774233,0.36042405791736903,0.8495738524475674,0.6991477048951349,0.2781094277394836,1.4364713710458124,1.0,0.8215801261212661
1860-1919,literal_raw_birth_rule,ph_fixed,log,normal_corr,False,True,-0.7422657488425889,-0.303788338825655,0.303788338825655,0.738017059477504,0.47603411895500786,0.4760341189550079,0.9999999999999999,1.0,0.7610312272833396
1860-1919,literal_raw_birth_rule,ph_fixed,log,normal_corr,True,True,-0.7471902077149505,-0.30537387280743683,0.30537387280743655,0.7368478355176724,0.47369567103534477,0.473695671035345,0.9999999999999996,1.0,0.7602532119262366
1860-1919,literal_raw_birth_rule,ph_fixed,level,normal_corr,False,True,-0.8527684961202479,-0.33811028721049113,0.33811028721049113,0.7131166359166781,0.426233271833356,0.4262332718333561,0.9999999999999999,1.0,0.4853703449477099
1860-1919,literal_raw_birth_rule,ph_fixed,level,normal_corr,True,True,-0.868531190232561,-0.3427950303554846,0.3427950303554846,0.7097836807600425,0.419567361520085,0.41956736152008506,0.9999999999999999,1.0,0.4931691748292426
1860-1919,literal_raw_birth_rule,ph_free,log,normal_corr,False,True,-0.7920218509087087,-0.29302428480260395,0.04225135155443691,0.7460040239167786,0.4920080478335571,0.884273400007119,0.556398109260774,0.5122037095923875,0.7727888190497023
1860-1919,literal_raw_birth_rule,ph_free,log,normal_corr,True,False,-0.836163703739808,-0.28716601442491074,0.07638333161850595,0.7503871434057918,0.5007742868115835,0.8078305915163412,0.6199001276636522,0.5364613302484084,0.7696775270594457
1860-1919,literal_raw_birth_rule,ph_free,level,normal_corr,False,True,-1.1684336223574705,-0.18375071835279924,0.1837507183527993,0.8321432160051656,0.6642864320103313,0.6642864320103314,0.9999999999999999,0.46795096071748504,0.801686620191542
1860-1919,literal_raw_birth_rule,ph_free,level,normal_corr,True,False,-1.1814419913068417,-0.18195070109437347,0.18195070109437345,0.8336424370625481,0.6672848741250964,0.6672848741250965,0.9999999999999999,0.45982754374346635,0.7956201332853509
1860-1919,literal_raw_birth_rule,genetic,log,normal_corr,False,True,-0.778758328775195,-0.2949806481211,0.0,0.7445459956904399,0.4890919913808798,0.45897555437818705,0.22448126788597078,1.0,0.7726214170573891
1860-1919,literal_raw_birth_rule,genetic,log,normal_corr,True,False,-0.8159280474176105,-0.2901185933738381,0.0,0.7481748337392926,0.49634966747858517,0.4422287276341387,0.21950008191068254,1.0,0.7680863183063227
1860-1919,literal_raw_birth_rule,genetic,level,normal_corr,False,True,-1.1230746177185127,-0.18696067340135836,0.0,0.8294763562277301,0.65895271245546,0.32527814961211654,0.21434291898939714,1.0,0.739698555878308
1860-1919,literal_raw_birth_rule,genetic,level,normal_corr,True,True,-1.1487089021127372,-0.18282021092906695,0.0,0.832917891810165,0.66583578362033,0.3170458424629006,0.2111004669598531,1.0,0.7327898238479448
1860-1919,literal_raw_birth_rule,unrestricted,log,normal_log,False,True,-1.341114122986913,-0.11850545087254226,0.38919823773165463,0.8882469739225677,0.7764939478451354,0.26155410275219204,1.6217445826486507,1.0,0.8101611263847801
1860-1919,literal_raw_birth_rule,unrestricted,log,normal_log,True,True,-1.2678778011629064,-0.18002739986845245,0.3677588715631432,0.835247325430895,0.6704946508617899,0.2814282351617358,1.4130189797957757,1.0,0.7571240125168034
1860-1919,literal_raw_birth_rule,unrestricted,level,normal_log,False,True,-1.3594214264901956,-0.11264616549899088,0.41961385040303245,0.8934667435514781,0.7869334871029563,0.2568093170466449,1.7185940830958115,1.0,0.8660784341004604
1860-1919,literal_raw_birth_rule,unrestricted,level,normal_log,True,False,-1.3584095582090967,-0.14186582886043586,0.4245043900490495,0.8677376740283693,0.7354753480567386,0.25706930576384024,1.6532511623592678,1.0,0.8504631216879414
1860-1919,literal_raw_birth_rule,ph_fixed,log,normal_log,False,True,-0.7176750332479178,-0.29579136045967996,0.29579136045967996,0.7439426276770871,0.48788525535417415,0.4878852553541742,0.9999999999999999,1.0,0.14823044824966514
1860-1919,literal_raw_birth_rule,ph_fixed,log,normal_log,True,True,-0.9265616166945038,-0.35959873387881364,0.3595987338788137,0.697956336119753,0.3959126722395061,0.39591267223950616,0.9999999999999999,1.0,0.16536008826168413
1860-1919,literal_raw_birth_rule,ph_fixed,level,normal_log,False,True,-0.9230480708345186,-0.3586009573649346,0.3586009573649346,0.6986530881032242,0.3973061762064484,0.3973061762064485,0.9999999999999999,1.0,0.4630964354493111
1860-1919,literal_raw_birth_rule,ph_fixed,level,normal_log,True,True,-1.0273483191545292,-0.38716737338197327,0.3871673733819733,0.678977442664858,0.3579548853297162,0.35795488532971625,0.9999999999999999,1.0,0.6764083694585064
1860-1919,literal_raw_birth_rule,ph_free,log,normal_log,False,True,-1.1501728197185133,-0.16107081386490713,0.16107081386490707,0.851231789959827,0.7024635799196539,0.702463579919654,0.9999999999999999,0.45067397382519997,0.7566260659561049
1860-1919,literal_raw_birth_rule,ph_free,log,normal_log,True,False,-1.1837088794276278,-0.19501763072747189,0.19501763072747197,0.822820151010293,0.6456403020205862,0.6456403020205863,0.9999999999999999,0.4741667901939692,0.7021242210413261
1860-1919,literal_raw_birth_rule,ph_free,level,normal_log,False,True,-1.0959953699683729,-0.18521443754653136,0.18521443754653133,0.8309260829957448,0.6618521659914895,0.6618521659914897,0.9999999999999999,0.504956845520704,0.7792935590176957
1860-1919,literal_raw_birth_rule,ph_free,level,normal_log,True,False,-1.166910743436027,-0.1962765394492126,0.19627653944921264,0.8217849472959748,0.6435698945919497,0.6435698945919498,0.9999999999999999,0.4837504512141004,0.6801070299670049
1860-1919,literal_raw_birth_rule,genetic,log,normal_log,False,True,-1.0582365573259755,-0.17538992505099932,0.0,0.8391297592554499,0.6782595185108997,0.3470673042994724,0.23540170270503608,1.0,0.6596493867913982
1860-1919,literal_raw_birth_rule,genetic,log,normal_log,True,True,-1.161782312617583,-0.19349962603638474,0.0,0.8240701443673036,0.6481402887346073,0.31292794812739716,0.2028212106524194,1.0,0.6078588333187288
1860-1919,literal_raw_birth_rule,genetic,level,normal_log,False,True,-1.0010579379356188,-0.19044521622144464,0.0,0.8265910402691765,0.6531820805383531,0.36749045335365793,0.2400381788995249,1.0,0.6044637066873917
1860-1919,literal_raw_birth_rule,genetic,level,normal_log,True,True,-1.2246058261066066,-0.15057205741380317,0.0,0.8602157428523802,0.7204314857047606,0.29387351476399853,0.21171573285070736,1.0,0.5279711749759716
1860-1919,literal_raw_birth_rule,unrestricted,log,student_corr,False,True,-0.7840025598804437,-0.29479962192410747,0.0345267663265686,0.7446807902208282,0.48936158044165645,0.4565748808447102,0.5416824575244834,1.0,0.7714571174181408
1860-1919,literal_raw_birth_rule,unrestricted,level,student_corr,False,True,-1.272744733584605,-0.16390887468241733,0.3554992742860708,0.8488193672905053,0.6976387345810107,0.280061870658588,1.4223486357390414,1.0,0.8182461875034079
